[2021-03-10 12:07:02.489] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/xml/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/xml/package.json'
[2021-03-10 12:07:02.490] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/ini/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/ini/package.json'
[2021-03-10 12:07:02.490] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/csharp/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/csharp/package.json'
[2021-03-10 12:07:02.490] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/python/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/python/package.json'
[2021-03-10 12:07:02.490] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/lua/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/lua/package.json'
[2021-03-10 12:07:02.490] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/fsharp/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/fsharp/package.json'
[2021-03-10 12:07:02.490] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/hlsl/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/hlsl/package.json'
[2021-03-10 12:07:02.491] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/merge-conflict/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/merge-conflict/package.json'
[2021-03-10 12:07:02.491] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/typescript-basics/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/typescript-basics/package.json'
[2021-03-10 12:07:02.491] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/typescript-language-features/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/typescript-language-features/package.json'
[2021-03-10 12:07:02.491] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-monokai/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-monokai/package.json'
[2021-03-10 12:07:02.491] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/sql/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/sql/package.json'
[2021-03-10 12:07:02.491] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-solarized-dark/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-solarized-dark/package.json'
[2021-03-10 12:07:02.492] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-defaults/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-defaults/package.json'
[2021-03-10 12:07:02.492] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-quietlight/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-quietlight/package.json'
